uid,region_city_group,region_city_group_no,region_city,age_group,age,visit_days,total_duration_min,avg_duration_min,total_payment_may,retained_june,retained_july,retained_august,retained_90
6325,Gyeonggi-do,2,Seongnam,Teens,16,1,34,34,1500,0,0,0,0
6524,Gyeonggi-do,2,Seongnam,Twenties,23,1,616,616,130000,0,1,1,1
6580,Gyeonggi-do,2,Seongnam,Teens,10,6,2749,458,118500,0,0,0,0
6626,Seoul,1,Seoul,Thirties,38,30,21171,706,914000,1,1,0,1
6648,Seoul,1,Seoul,Twenties,27,1,179,179,4000,0,0,0,0
6681,Gyeonggi-do,2,Seongnam,Twenties,20,1,358,358,8000,0,0,0,0
6755,Seoul,1,Seoul,Twenties,25,1,348,348,15000,0,0,0,0
6874,Seoul,1,Seoul,Forties+,46,2,237,119,6000,1,0,0,1
6934,Gyeonggi-do,2,Seongnam,Forties+,55,1,157,157,13500,1,1,0,1
6983,Seoul,1,Seoul,Twenties,23,4,729,182,31500,0,0,0,0
7003,Gyeonggi-do,2,Seongnam,Twenties,27,1,51,51,4500,0,1,0,1
7054,Seoul,1,Seoul,Twenties,26,3,235,78,90400,0,0,0,0
7069,Seoul,1,Seoul,Twenties,28,5,557,111,160000,1,1,0,1
7096,Gyeonggi-do,2,Seongnam,Teens,11,1,50,50,2000,0,0,0,0
7224,Gyeonggi-do,2,Seongnam,Twenties,23,2,298,149,13000,0,0,1,1
7233,Seoul,1,Seoul,Twenties,26,1,342,342,15000,0,1,0,1
7822,Gyeonggi-do,2,Yongin,Twenties,23,1,200,200,5000,1,1,1,1
8075,Seoul,1,Seoul,Thirties,35,3,324,108,14000,0,0,1,1
8217,Seoul,1,Seoul,Teens,13,2,559,280,24000,0,0,0,0
8289,Seoul,1,Seoul,Teens,13,5,323,65,14000,0,0,0,0
8620,Seoul,1,Seoul,Twenties,20,1,157,157,8000,0,0,0,0
8680,Seoul,1,Seoul,Twenties,21,2,358,179,8000,0,0,0,0
8682,Seoul,1,Seoul,Twenties,22,1,359,359,10000,1,0,0,1
8713,Seoul,1,Seoul,Twenties,24,1,119,119,3000,0,0,0,0
8981,Seoul,1,Seoul,Twenties,27,1,178,178,4000,0,0,0,0
9053,Gyeonggi-do,2,Seongnam,Teens,16,2,336,168,11200,1,0,0,1
9776,Seoul,1,Seoul,Twenties,27,6,1584,264,69000,1,1,0,1
10517,Gyeonggi-do,2,Seongnam,Teens,16,3,555,185,15700,0,0,0,0
10861,Gyeonggi-do,2,Seongnam,Teens,15,2,841,421,36500,0,0,0,0
10867,Seoul,1,Seoul,Twenties,23,2,517,259,150000,0,0,0,0
11338,Gyeonggi-do,2,Seongnam,Teens,19,1,119,119,3000,0,1,0,1
11354,Seoul,1,Seoul,Thirties,31,3,359,120,29000,0,0,0,0
11437,Seoul,1,Seoul,Twenties,22,4,677,169,39000,1,1,1,1
12101,Seoul,1,Seoul,Twenties,22,14,7324,523,209000,0,0,0,0
12284,Seoul,1,Seoul,Teens,12,3,181,60,8000,0,0,0,0
12568,Seoul,1,Seoul,Twenties,21,15,3298,220,21000,0,1,0,1
13548,Gyeonggi-do,2,Seongnam,Forties+,48,1,416,416,10500,0,1,1,1
13601,Gyeonggi-do,2,Anyang,Teens,12,10,6204,620,268000,0,1,1,1
13737,Gyeonggi-do,2,Anyang,Thirties,33,8,2853,357,123000,0,0,0,0
14031,Gyeonggi-do,2,Seongnam,Twenties,20,1,162,162,9000,1,0,1,1
14399,Gyeonggi-do,2,Seongnam,Twenties,20,1,100,100,4500,0,0,0,0
14418,Gyeonggi-do,2,Seongnam,Teens,15,1,293,293,12500,0,0,0,0
14669,Gyeonggi-do,2,Seongnam,Twenties,29,3,186,62,13500,0,0,0,0
14670,Gyeonggi-do,2,Seongnam,Twenties,28,2,216,108,13500,0,0,0,0
14749,Daejeon,14,Daejeon,Twenties,22,12,6111,509,264000,0,0,0,0
14835,Gyeonggi-do,2,Anyang,Twenties,20,6,550,92,35000,0,0,1,1
14859,Gyeonggi-do,2,Anyang,Teens,18,3,768,256,141000,1,0,0,1
15099,Gyeonggi-do,2,Seongnam,Teens,18,1,42,42,5600,0,0,0,0
15151,Gyeonggi-do,2,Anyang,Twenties,24,1,392,392,120000,1,0,0,1
15180,Gyeonggi-do,2,Seongnam,Teens,18,9,1837,204,53900,1,1,1,1
15183,Chungcheongnam-do,3,Asan,Teens,18,2,124,62,5500,1,0,0,1
15367,Gyeonggi-do,2,Anyang,Twenties,20,1,76,76,65000,1,1,1,1
15404,Gyeonggi-do,2,Seongnam,Twenties,29,1,52,52,2000,0,0,0,0
15430,Gyeonggi-do,2,Anyang,Twenties,20,3,443,148,35000,1,1,0,1
15469,Gyeonggi-do,2,Siheung,Twenties,29,1,242,242,264000,0,0,0,0
15475,Gyeonggi-do,2,Anyang,Twenties,29,3,1294,431,125000,1,1,0,1
15497,Gyeonggi-do,2,Anyang,Twenties,20,1,14,14,5000,0,0,0,0
15949,Gyeonggi-do,2,Anyang,Teens,18,1,153,153,18000,1,0,0,1
16214,Gyeonggi-do,2,Anyang,Twenties,21,1,238,238,5000,1,1,0,1
16621,Gyeonggi-do,2,Uijeongbu,Thirties,37,4,2344,586,258000,1,0,1,1
16757,Gyeonggi-do,2,Anyang,Twenties,22,1,109,109,4500,0,0,0,0
17047,Gyeonggi-do,2,Seongnam,Teens,11,4,682,171,29500,0,0,0,0
17049,Gyeonggi-do,2,Seongnam,Twenties,20,1,484,484,21000,1,1,0,1
17414,Gyeonggi-do,2,Anyang,Twenties,26,3,389,130,18000,1,1,0,1
17628,Gyeonggi-do,2,Seongnam,Teens,19,1,44,44,14000,0,0,0,0
17744,Gyeonggi-do,2,Seongnam,Twenties,29,28,14929,533,230000,1,0,1,1
17783,Gyeonggi-do,2,Uijeongbu,Thirties,36,9,3331,370,89000,1,1,0,1
17791,Seoul,1,Seoul,Twenties,20,1,158,158,7000,0,0,0,0
17906,Gyeonggi-do,2,Suwon,Thirties,30,1,98,98,4000,0,0,0,0
18120,Seoul,1,Seoul,Thirties,30,4,388,97,105000,0,0,0,0
18361,Seoul,1,Seoul,Twenties,26,2,206,103,8000,1,0,0,1
18421,Seoul,1,Seoul,Twenties,25,2,854,427,37000,0,0,0,0
18631,Gyeonggi-do,2,Seongnam,Twenties,21,1,295,295,7100,0,0,0,0
18808,Gyeonggi-do,2,Seongnam,Twenties,21,1,50,50,5600,0,0,1,1
19100,Seoul,1,Seoul,Twenties,24,1,167,167,7000,0,0,1,1
19262,Gyeonggi-do,2,Siheung,Teens,11,14,4932,352,140000,1,1,1,1
19330,Gyeonggi-do,2,Seongnam,Twenties,23,9,3764,418,12000,1,1,0,1
19491,Gyeonggi-do,2,Anyang,Thirties,39,9,1931,215,154000,0,0,0,0
19530,Gyeonggi-do,2,Anyang,Twenties,23,5,182,36,100000,1,0,0,1
19534,Gyeonggi-do,2,Anyang,Teens,16,2,638,319,27500,0,0,0,0
19538,Gyeonggi-do,2,Anyang,Twenties,28,1,175,175,5000,0,0,0,0
19624,Gyeonggi-do,2,Anyang,Twenties,22,6,674,112,155000,1,0,1,1
19705,Gyeonggi-do,2,Seongnam,Twenties,23,1,323,323,14000,1,1,1,1
19850,Daejeon,14,Daejeon,Twenties,29,16,5659,354,244500,0,0,0,0
20055,Seoul,1,Seoul,Twenties,25,1,294,294,12500,0,0,0,0
20185,Seoul,1,Seoul,Twenties,27,4,399,100,17000,1,0,0,1
20323,Gyeonggi-do,2,Suwon,Twenties,29,1,249,249,6000,0,0,0,0
20659,Gyeonggi-do,2,Goyang,Thirties,37,8,1750,219,150000,1,0,0,1
20757,Seoul,1,Seoul,Twenties,29,7,2439,348,105500,1,0,0,1
21120,Seoul,1,Seoul,Twenties,25,1,180,180,4000,0,0,0,0
21150,Seoul,1,Seoul,Thirties,30,7,2793,399,69000,1,1,1,1
21315,Gyeonggi-do,2,Siheung,Teens,19,3,1664,555,65000,0,0,0,0
21386,Seoul,1,Seoul,Twenties,28,5,835,167,22000,1,1,1,1
21507,Seoul,1,Seoul,Twenties,24,2,329,165,14000,1,1,0,1
21512,Seoul,1,Seoul,Thirties,36,2,833,417,36000,0,1,1,1
22384,Sejong,16,Sejong,Twenties,25,1,854,854,37000,0,0,0,0
22869,Gyeonggi-do,2,Goyang,Twenties,22,1,148,148,3000,0,0,1,1
23244,Seoul,1,Seoul,Twenties,20,1,119,119,3000,0,0,0,0
23294,Seoul,1,Seoul,Twenties,28,1,118,118,3000,0,0,0,0
23359,Daejeon,14,Daejeon,Twenties,25,15,5051,337,550000,0,0,0,0
23422,Seoul,1,Seoul,Teens,18,18,1828,102,79000,0,0,0,0
23665,Gyeonggi-do,2,Siheung,Twenties,23,1,254,254,60000,0,0,0,0
23918,Gyeonggi-do,2,Seongnam,Twenties,24,1,239,239,5600,1,0,0,1
24532,Gyeonggi-do,2,Seongnam,Twenties,23,2,303,152,64500,0,0,0,0
24789,Gyeonggi-do,2,Anyang,Thirties,32,1,176,176,5000,0,1,0,1
24877,Gyeonggi-do,2,Siheung,Twenties,23,4,948,237,21000,0,1,0,1
24954,Chungcheongbuk-do,4,Cheongju,Teens,17,7,2096,299,90500,0,0,0,0
25110,Gyeonggi-do,2,Seongnam,Teens,10,1,52,52,2000,0,0,0,0
25360,Seoul,1,Seoul,Twenties,20,2,328,164,8000,0,0,0,0
25383,Seoul,1,Seoul,Twenties,27,1,134,134,6000,1,0,0,1
25401,Sejong,16,Sejong,Twenties,20,2,220,110,7000,0,1,1,1
25456,Gyeonggi-do,2,Seongnam,Teens,13,1,113,113,5000,0,0,0,0
25464,Seoul,1,Seoul,Twenties,20,3,336,112,14500,1,1,0,1
26031,Seoul,1,Seoul,Twenties,29,1,140,140,6000,1,0,0,1
26237,Gyeonggi-do,2,Seongnam,Twenties,22,5,443,89,19000,0,0,0,0
26536,Seoul,1,Seoul,Twenties,24,8,4558,570,169000,1,1,1,1
26554,Seoul,1,Seoul,Teens,13,2,116,58,5000,0,1,0,1
26703,Chungcheongbuk-do,4,Cheongju,Twenties,28,6,1496,249,64500,0,0,0,0
26721,Seoul,1,Seoul,Forties+,46,2,149,75,29000,1,1,0,1
26733,Seoul,1,Seoul,Twenties,25,2,686,343,15000,1,0,0,1
26938,Gyeonggi-do,2,Anyang,Twenties,25,23,11718,509,10000,1,0,0,1
27240,Seoul,1,Seoul,Twenties,21,1,111,111,5000,1,0,0,1
27339,Seoul,1,Seoul,Twenties,29,1,239,239,5000,0,0,0,0
27483,Gyeonggi-do,2,Anyang,Twenties,21,1,162,162,7000,1,0,0,1
27632,Gyeonggi-do,2,Seongnam,Twenties,23,3,394,131,17000,1,0,0,1
27641,Gyeonggi-do,2,Yongin,Twenties,28,1,104,104,4500,0,0,0,0
27663,Seoul,1,Seoul,Twenties,28,16,6956,435,229000,0,1,0,1
27702,Seoul,1,Seoul,Thirties,33,1,119,119,5400,1,0,0,1
27735,Gyeonggi-do,2,Suwon,Twenties,23,1,13,13,140000,0,0,1,1
27779,Seoul,1,Seoul,Forties+,40,10,4314,431,85000,1,1,1,1
27848,Seoul,1,Seoul,Teens,11,2,182,91,8000,0,0,0,0
28332,Gyeonggi-do,2,Seongnam,Teens,15,1,54,54,5600,1,0,1,1
28789,Daegu,11,Daegu,Twenties,22,1,170,170,7500,1,0,0,1
29083,Seoul,1,Seoul,Twenties,27,3,89,30,280000,0,0,0,0
29113,Gyeonggi-do,2,Siheung,Teens,17,1,1178,1178,145000,0,1,1,1
29148,Seoul,1,Seoul,Teens,19,1,115,115,4000,0,0,0,0
29414,Gyeonggi-do,2,Anyang,Twenties,29,3,243,81,25000,1,1,0,1
29420,Seoul,1,Seoul,Teens,16,1,801,801,34500,0,0,0,0
29667,Seoul,1,Seoul,Teens,10,2,699,350,30000,0,0,0,0
29676,Chungcheongnam-do,3,Cheonan,Twenties,23,1,195,195,8500,0,0,0,0
30141,Seoul,1,Seoul,Teens,19,1,100,100,5000,0,0,0,0
30235,Gyeonggi-do,2,Anyang,Forties+,55,1,223,223,9500,0,1,1,1
30301,Seoul,1,Seoul,Teens,18,3,586,195,25500,0,1,1,1
30532,Gyeonggi-do,2,Seongnam,Forties+,45,3,67,22,12000,1,1,1,1
30806,Gyeonggi-do,2,Seongnam,Thirties,33,1,30,30,1500,0,0,0,0
30889,Gyeonggi-do,2,Anyang,Twenties,28,15,1672,111,148000,1,1,0,1
31076,Seoul,1,Seoul,Twenties,23,1,76,76,6000,1,1,0,1
31121,Gyeonggi-do,2,Seongnam,Twenties,20,6,1746,291,54000,0,0,0,0
31172,Gyeonggi-do,2,Anyang,Twenties,24,1,359,359,6000,0,1,0,1
31524,Gyeonggi-do,2,Anyang,Teens,18,1,168,168,162500,1,1,1,1
31634,Gyeonggi-do,2,Siheung,Twenties,24,9,1246,138,208000,0,0,0,0
31778,Seoul,1,Seoul,Twenties,26,1,324,324,7000,0,0,0,0
32295,Gyeonggi-do,2,Siheung,Teens,11,1,208,208,9000,0,0,0,0
32333,Seoul,1,Seoul,Teens,18,13,4343,334,140000,0,0,1,1
32839,Chungcheongbuk-do,4,Cheongju,Twenties,21,4,1237,309,53500,0,0,1,1
33350,Gyeonggi-do,2,Anyang,Teens,18,2,162,81,10000,1,1,1,1
33398,Seoul,1,Seoul,Twenties,26,4,439,110,5000,0,0,0,0
33474,Gyeonggi-do,2,Anyang,Teens,11,4,448,112,19500,0,0,0,0
33522,Gyeonggi-do,2,Seongnam,Teens,17,1,75,75,12000,1,1,0,1
33791,Gyeonggi-do,2,Anyang,Twenties,25,1,237,237,5000,0,0,0,0
33852,Gyeonggi-do,2,Anyang,Twenties,25,4,595,149,70000,0,1,0,1
33905,Seoul,1,Seoul,Twenties,24,3,860,287,125000,1,1,0,1
34118,Seoul,1,Seoul,Forties+,58,28,4381,156,69000,1,1,1,1
34367,Seoul,1,Seoul,Forties+,58,2,913,457,39500,0,0,0,0
34476,Gyeonggi-do,2,Seongnam,Twenties,23,2,226,113,12000,1,0,0,1
34536,Gyeonggi-do,2,Siheung,Teens,17,3,693,231,80000,1,1,1,1
34678,Gyeonggi-do,2,Anyang,Teens,15,6,991,165,43000,0,1,0,1
34814,Seoul,1,Seoul,Twenties,21,2,661,331,19800,1,1,0,1
34918,Gyeonggi-do,2,Yongin,Twenties,23,5,567,113,24500,0,0,0,0
34984,Chungcheongbuk-do,4,Cheongju,Teens,17,14,5633,402,243000,0,0,0,0
34992,Seoul,1,Seoul,Teens,19,3,687,229,51500,1,1,1,1
35015,Gyeonggi-do,2,Siheung,Teens,17,3,935,312,84000,1,0,0,1
35049,Seoul,1,Seoul,Teens,13,8,3759,470,162500,0,0,0,0
35067,Seoul,1,Seoul,Teens,17,6,1350,225,65000,1,1,1,1
35196,Gyeonggi-do,2,Siheung,Teens,17,4,970,243,250000,0,0,0,0
35250,Gyeonggi-do,2,Siheung,Teens,17,1,92,92,5000,0,0,0,0
35251,Seoul,1,Seoul,Teens,19,3,326,109,128000,1,1,1,1
35278,Seoul,1,Seoul,Teens,16,1,179,179,4000,0,1,0,1
35332,Gyeonggi-do,2,Yongin,Twenties,23,15,5140,343,222000,0,0,0,0
35372,Seoul,1,Seoul,Thirties,39,2,1110,555,48000,0,1,0,1
35377,Gyeonggi-do,2,Seongnam,Teens,17,6,888,148,8000,0,0,0,0
35384,Seoul,1,Seoul,Teens,15,4,838,210,19000,1,1,1,1
35554,Gyeonggi-do,2,Seongnam,Twenties,28,6,694,116,99000,0,1,1,1
35654,Seoul,1,Seoul,Forties+,41,18,2584,144,10000,1,1,0,1
35758,Seoul,1,Seoul,Teens,19,2,317,159,178000,1,0,0,1
35787,Gyeonggi-do,2,Ansan,Teens,15,3,786,262,34000,0,0,0,0
35834,Incheon,12,Incheon,Teens,17,16,10520,658,454000,0,0,0,0
35983,Seoul,1,Seoul,Teens,15,10,2480,248,107000,0,1,1,1
36100,Gyeonggi-do,2,Seongnam,Twenties,20,1,96,96,4000,1,0,0,1
36161,Gyeonggi-do,2,Seongnam,Thirties,32,2,465,233,20000,0,1,0,1
36215,Seoul,1,Seoul,Twenties,22,7,1763,252,125000,0,0,0,0
36402,Seoul,1,Seoul,Forties+,51,1,539,539,9000,0,0,0,0
36434,Seoul,1,Seoul,Twenties,24,19,3286,173,75000,0,1,0,1
36590,Gyeonggi-do,2,Anyang,Thirties,33,1,313,313,6000,0,0,0,0
36760,Seoul,1,Seoul,Thirties,39,9,2079,231,29000,1,0,1,1
36904,Gyeonggi-do,2,Yongin,Teens,12,2,426,213,18500,0,0,0,0
36930,Gyeonggi-do,2,Yongin,Teens,17,2,533,267,19000,1,1,0,1
36974,Gyeonggi-do,2,Yongin,Twenties,23,1,671,671,9000,1,0,0,1
37067,Seoul,1,Seoul,Thirties,35,2,171,86,7500,0,0,0,0
37159,Seoul,1,Seoul,Twenties,23,1,13,13,6500,1,0,0,1
37257,Gyeonggi-do,2,Anyang,Twenties,24,1,298,298,18000,0,0,0,0
37315,Seoul,1,Seoul,Teens,15,12,1660,138,71500,0,0,0,0
37331,Seoul,1,Seoul,Teens,17,3,376,125,32000,1,0,1,1
37362,Seoul,1,Seoul,Forties+,52,6,564,94,29000,0,0,0,0
37395,Seoul,1,Seoul,Teens,19,4,1260,315,54500,0,0,0,0
37499,Seoul,1,Seoul,Forties+,41,3,463,154,29000,0,1,0,1
37633,Seoul,1,Seoul,Forties+,40,9,3887,432,9000,1,0,1,1
37681,Seoul,1,Seoul,Forties+,56,1,9,9,500,0,1,1,1
37883,Gyeonggi-do,2,Seongnam,Teens,19,1,165,165,7000,0,0,0,0
37901,Seoul,1,Seoul,Teens,19,3,845,282,36500,0,1,1,1
37921,Seoul,1,Seoul,Thirties,30,9,5246,583,226500,0,0,0,0
37948,Gyeonggi-do,2,Yongin,Teens,16,1,76,76,3500,1,1,1,1
37962,Gyeonggi-do,2,Yongin,Teens,15,1,356,356,5000,1,1,0,1
37977,Gyeonggi-do,2,Seongnam,Twenties,25,1,32,32,1500,1,1,0,1
38003,Seoul,1,Seoul,Twenties,24,4,1912,478,82500,0,0,0,0
38018,Seoul,1,Seoul,Teens,13,2,326,163,14000,0,0,0,0
38122,Gyeonggi-do,2,Yongin,Thirties,34,2,472,236,20500,0,0,1,1
38125,Gyeonggi-do,2,Seongnam,Twenties,23,1,238,238,5600,0,0,0,0
38256,Incheon,12,Incheon,Teens,16,3,750,250,32500,0,0,0,0
38272,Seoul,1,Seoul,Teens,16,1,86,86,3500,0,0,0,0
38294,Gyeonggi-do,2,의왕,Twenties,27,19,11802,621,509500,0,0,0,0
38302,Gyeonggi-do,2,Anyang,Twenties,23,2,717,359,18000,0,0,0,0
38303,Gyeonggi-do,2,Anyang,Twenties,24,4,1031,258,23000,1,0,0,1
38343,Seoul,1,Seoul,Teens,17,3,453,151,45000,1,0,1,1
38432,Gyeonggi-do,2,Yongin,Teens,18,1,57,57,2000,1,0,0,1
38494,Gyeonggi-do,2,Seongnam,Teens,15,2,198,99,8500,1,1,0,1
38513,Seoul,1,Seoul,Twenties,20,21,5462,260,66000,1,1,1,1
38622,Gyeonggi-do,2,Yongin,Twenties,24,1,330,330,14000,0,1,0,1
38719,Gyeonggi-do,2,Seongnam,Teens,16,5,1048,210,45000,0,0,0,0
38733,Seoul,1,Seoul,Twenties,24,6,1586,264,79500,0,1,1,1
38737,Seoul,1,Seoul,Twenties,24,1,23,23,57000,0,0,0,0
38809,Gyeonggi-do,2,Seongnam,Teens,16,1,40,40,1500,1,1,0,1
38906,Seoul,1,Seoul,Twenties,23,1,86,86,3500,0,0,0,0
38924,Gyeonggi-do,2,Yongin,Twenties,24,2,506,253,12000,1,0,0,1
38939,Seoul,1,Seoul,Twenties,22,2,1047,524,18000,1,0,0,1
38964,Gyeonggi-do,2,Yongin,Twenties,23,1,332,332,6000,0,0,0,0
39185,Seoul,1,Seoul,Thirties,33,4,855,214,37000,0,0,0,0
39217,Seoul,1,Seoul,Teens,11,8,1527,191,66000,0,0,0,0
39320,Seoul,1,Seoul,Teens,11,9,2026,225,87500,0,0,0,0
39375,Seoul,1,Seoul,Teens,12,3,549,183,23500,0,0,0,0
39399,Gangwon-do,9,Gangwon,Twenties,26,2,391,196,85000,0,1,0,1
39458,Seoul,1,Seoul,Twenties,21,2,219,110,10000,0,0,0,0
39515,Gyeonggi-do,2,Seongnam,Twenties,24,6,503,84,35500,1,1,1,1
39554,Gyeonggi-do,2,Seongnam,Teens,12,1,625,625,27000,0,0,0,0
39570,Gyeonggi-do,2,Seongnam,Twenties,21,1,43,43,2000,0,0,0,0
39745,Seoul,1,Seoul,Teens,16,8,1331,166,57500,0,0,0,0
39768,Seoul,1,Seoul,Twenties,26,22,13880,631,150000,1,0,0,1
39773,Gyeonggi-do,2,Seongnam,Forties+,49,1,314,314,13500,0,0,0,0
39929,Gyeonggi-do,2,Seongnam,Twenties,28,10,2605,261,112500,0,0,0,0
39981,Gyeonggi-do,2,Seongnam,Twenties,25,2,272,136,10500,1,0,0,1
40056,Gyeonggi-do,2,Yongin,Forties+,41,1,53,53,2500,0,0,1,1
40059,Seoul,1,Seoul,Twenties,20,1,298,298,5000,0,0,0,0
40104,Seoul,1,Seoul,Twenties,29,1,287,287,12500,0,1,0,1
40175,Seoul,1,Seoul,Thirties,30,2,168,84,7500,0,0,0,0
40217,Gyeonggi-do,2,Yongin,Twenties,29,1,46,46,2000,0,0,0,0
40221,Gyeonggi-do,2,Seongnam,Teens,18,1,225,225,54000,1,0,0,1
40249,Seoul,1,Seoul,Forties+,53,1,200,200,8500,0,0,0,0
40252,Gyeonggi-do,2,Seongnam,Forties+,51,1,115,115,19500,0,0,0,0
40320,Gyeonggi-do,2,Siheung,Twenties,24,1,158,158,5000,0,0,0,0
40370,Seoul,1,Seoul,Forties+,48,1,105,105,4500,0,0,1,1
40409,Seoul,1,Seoul,Twenties,21,2,248,124,14100,0,0,0,0
40451,Seoul,1,Seoul,Twenties,25,1,239,239,3500,1,0,0,1
40480,Seoul,1,Seoul,Teens,17,9,2113,235,89500,1,1,1,1
40535,Gyeonggi-do,2,Seongnam,Teens,14,1,59,59,2500,0,0,0,0
40703,Seoul,1,Seoul,Teens,17,1,294,294,12500,0,0,1,1
40722,Seoul,1,Seoul,Twenties,26,3,346,115,15000,0,0,1,1
40750,Seoul,1,Seoul,Teens,14,11,5801,527,250500,0,0,0,0
40804,Gyeonggi-do,2,Seongnam,Twenties,21,1,372,372,16000,0,0,0,0
40846,Seoul,1,Seoul,Twenties,22,17,8885,523,383500,0,0,0,0
40951,Gyeonggi-do,2,Seongnam,Teens,17,9,3736,415,160000,1,1,1,1
40953,Seoul,1,Seoul,Teens,12,6,1893,316,81500,0,0,0,0
40975,Gyeonggi-do,2,Seongnam,Teens,17,3,865,288,37500,1,1,1,1
40997,Seoul,1,Seoul,Teens,16,2,135,68,97000,1,0,1,1
41015,Gyeonggi-do,2,Seongnam,Twenties,28,1,384,384,16500,0,0,0,0
41023,Gyeonggi-do,2,Pyeongtaek,Twenties,22,1,156,156,4000,0,0,0,0
41046,Gyeonggi-do,2,Seongnam,Twenties,22,17,6962,410,300500,1,0,0,1
41141,Gyeonggi-do,2,Seongnam,Thirties,32,7,1807,258,78000,0,1,1,1
41187,Gyeonggi-do,2,Seongnam,Teens,18,2,855,428,37000,0,0,0,0
41192,Gyeonggi-do,2,Seongnam,Forties+,43,1,316,316,2000,1,0,1,1
41202,Gyeonggi-do,2,Yongin,Thirties,37,2,34,17,1500,0,0,0,0
41286,Gyeonggi-do,2,Seongnam,Twenties,22,1,66,66,9000,0,0,0,0
41302,Gyeonggi-do,2,Yongin,Teens,17,1,139,139,5000,1,1,0,1
41334,Gyeonggi-do,2,Seongnam,Twenties,24,1,117,117,15500,1,0,0,1
41357,Seoul,1,Seoul,Teens,11,2,154,77,6500,0,0,0,0
41362,Seoul,1,Seoul,Teens,17,8,1860,233,130000,1,1,0,1
41365,Gyeonggi-do,2,Anyang,Thirties,32,1,235,235,5000,0,1,0,1
41396,Gyeonggi-do,2,Seongnam,Forties+,51,21,5349,255,154000,1,1,1,1
41408,Gyeonggi-do,2,Seongnam,Teens,17,5,752,150,99000,0,0,0,0
41489,Seoul,1,Seoul,Forties+,42,1,538,538,7000,0,0,0,0
41510,Seoul,1,Seoul,Teens,17,3,497,166,10500,1,0,0,1
41577,Gyeonggi-do,2,Seongnam,Forties+,49,1,236,236,10000,0,0,0,0
41614,Seoul,1,Seoul,Twenties,20,1,6,6,11000,1,0,0,1
41666,Gyeonggi-do,2,Siheung,Teens,17,1,179,179,4000,1,0,0,1
41678,Seoul,1,Seoul,Twenties,21,4,692,173,30000,0,1,0,1
41710,Seoul,1,Seoul,Teens,19,28,19303,689,140000,1,0,0,1
41802,Seoul,1,Seoul,Thirties,38,29,6085,210,150000,1,1,1,1
41845,Gyeonggi-do,2,Seongnam,Twenties,20,2,271,136,8000,1,0,1,1
41866,Seoul,1,Seoul,Thirties,34,1,85,85,3500,0,0,0,0
41921,Seoul,1,Seoul,Twenties,28,1,123,123,5500,0,1,0,1
41944,Seoul,1,Seoul,Teens,17,1,233,233,3500,1,1,1,1
